Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
009-000001410,342,9,Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2014,eRA - Electronic Intake of Type 3s and Type 7s,Transitioning the Type 3s ( Administrative Supplements) and Type 7s (Change of Institute Request) from a paper submission process to a fully electronic process.,09/09/2010,27/07/2012,,,1.455,-35,-5.09,-0.041,-2.82,1.455,1.496,27/02/2012,11:32:35,282597
009-000001410,342,9,Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2015,eRA - Accommodate Mandated FCOI Changes,"The goal of this project is to implement changes to the FCOI module within the commons application, which have been mandated.",24/04/2011,27/04/2012,27/04/2012,27/04/2012,0.35,-126,-34.15,0.006,1.71,0.35,0.344,27/02/2012,11:32:35,282741
009-000001410,342,9,Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2016,eRA - Receipt and Referral Re-Engineering,The objective of the R&R Re-Engineering project is to produce a single robust Receipt and Referal system.,02/06/2010,26/10/2012,,,2.674,0,0,-0.07,-2.62,2.674,2.744,27/02/2012,11:32:35,283086
009-000001410,342,9,Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2017,eRA - Electronic Application Processing Updates,"The goal of this project is to develop and implement support, within the eSubmission system, for the latest SF424 (R&R) OMB-cleared forms available through Grants.gov.  In addition, eRA will implement the form needed to support 30 rather than 10 subaward budget attachments.",08/11/2010,26/04/2013,,,0.6,0,0,-0.021,-3.5,0.6,0.621,27/02/2012,11:32:36,283087
009-000001410,342,9,Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2018,eRA - Research Performance Progress Report (RPPR),OMB has mandated that agencies within the federal government use a federal-wide research performance progress report (RPPR) for submission of required annual or other interim performance reporting on grants and cooperative agreement awards.  The goal of this project is to implement this mandate.,25/07/2011,26/04/2013,,,0.6,0,0,-0.04,-6.67,0.6,0.64,27/02/2012,11:32:36,283088
009-000001410,342,9,Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2019,eRA - Mandatory and Anticipated Mandated System Changes,"This project addresses the changes that the Electronic Research Administration (eRA) must make to its systems in order for the NIH extramural grant systems to be in compliance with federal and agency directives and scientific policy, including requirements from Congress, the Department of Health and Human Services (DHHS), the Office of Management and Budget (OMB), and the NIH Director.",01/10/2011,26/07/2013,,,2.12,0,0,0.011,0.52,2.12,2.109,27/02/2012,11:32:36,283101
009-000001410,342,9,Department of Health and Human Services,NIH OD Electronic Research Administration (eRA),2020,eRA - Improve Commons Personal Profile Usability,"This project will implement the recommendations of the 2009 Commons personal profile usability study to fulfill the need to improve usability and data collection, completeness, and quality, and to comply with the NIH Reform Act of 2006.",21/07/2011,25/01/2013,,,0.94,0,0,0.01,1.06,0.94,0.93,27/02/2012,11:32:36,285382
009-000001413,343,9,Department of Health and Human Services,NIH OD NIH Business System (NBS),2127,NBS Program Upgrade,"This project is to upgrade several NBS software products.  These upgrades are significant version upgrades to enhance invoicing, acquisition, and Oracle database and application software.",10/10/2011,13/06/2012,,,1.16,-79,-31.98,0,0,1.16,1.16,28/06/2012,07:58:58,283085
009-000001479,345,9,Department of Health and Human Services,OS ASA Debt Management and Collection System (DMCS),2129,DMCS Migration Project,"This project obtains professional planning and migration services to transfer the DMCS application, code, database and hosting architecture from the CIT Titan Mainframe to a modern third-party server/hosting facility.  It includes analysis of archtecture, hosting and migration options with best-value proposition, development of the migration plan and complete code/data migration and start-up of the architecture at a modern third-party server/hosting facility.  This project does not include the leasing and ongoing maintenance of new hardware which will be included in the O&M funding of the DMCS investment.",28/09/2011,28/09/2012,,,0.6,-213,-200.94,0,0,0.6,0.6,26/04/2012,10:50:55,300226
009-000003888,346,9,Department of Health and Human Services,OS ASA Enterprise Human Resources and Personnel (EHRP),2219,EHRP Program Upgrade,"This project is to upgrade several EHRP systems. These include the following systems: CapHR, BIIS, and ITAS.  Upgrades include O&M development activities to support operations, audit and workforce management requirements.",01/08/2011,28/09/2012,,,1.435,-133,-50.57,0,0,1.435,1.435,28/06/2012,07:59:04,299161
009-000003888,346,9,Department of Health and Human Services,OS ASA Enterprise Human Resources and Personnel (EHRP),2220,EHRP PeopleSoft 9.1 Upgrade,"The purpose of the HRESM EHRP PeopleSoft Enhancement project is to complete the following:*         Upgrade of EHRP from PeopleSoft Version 8.9 to PeopleSoft Enterprise 9.1 HCM*         Implementation of workflow manager*         Implementation of manager/employee self-service*         Implementation of position management*         Base implementation of the Person Model to accommodate employees onlyAny additional functionality beyond this scope, such as the full implementation of the Person Model, will be implemented as separate projects and will follow the EPLC process.  Workgroups consisting of OHR, OPDIV, and HRESM members will be established to discuss and gather detailed requirements for new functionality that may be implemented through these separate projects.In addition, a strategic goal of the HHS HR Business segment is to evolve the current HR federated model.  Currently, there are redundant OPDIV supported HR services and a key business goal is to develop a department-centric enterprise model that supports consolidation of duplicative applications and operating models.  As an initial step towards streamlining PSC's HR enterprise architecture, the following systems will be targeted for replacement within the scope of this project:*         EWITS*         52 Central*         HREPS*         ATRD.",01/09/2010,29/01/2014,,,8.417,0,0,0.07,0.83,8.417,8.347,28/06/2012,07:59:04,302401
009-000001482,349,9,Department of Health and Human Services,OS ASA Payment Management System (PMS),2130,PMS User Certification Phase 1,This project providesa mechanism for certification of non-governmental users of PMS.,01/06/2011,08/01/2012,,,0.292,-236,-116.83,0,0,0.292,0.292,26/04/2012,10:50:55,290548
009-000004062,350,9,Department of Health and Human Services,OS ONC Nationwide Health Information Network (NwHIN) Exchange,2198,NwHIN Exchange Implementation,"NwHIN Exchange is a critical portion of the National health IT agenda intended to facilitate development of standards based health care information exchange among providers, consumers and other stakeholders involved in supporting health and healthcare. This investment will enable the development of standards in health information exchange that follow the consumer, be available for critical clinical decision making, and support appropriate use of healthcare information beyond direct patient care so as to improve health outcomes. The investment seeks to achieve these goals by coordinating stakeholders in developing interoperable standards and by engaging industry and federal agencies in developing prototypes and trials. Executive Order 13410 requires Federal Agencies to adopt health IT standards that have been recognized by the HHS Secretary when developing or enhancing health information systems.     Initially established as a program under ONC in 2004, the goals of the program, then called NHIN Exchange were to improve the quality and efficiency of healthcare by establishing a mechanism for nationwide health information exchange. The NwHIN Exchange went through a prototyping and trial implementations phase where an architecture and set of Service Oriented Architecture based specifications were developed to provide a common, secure and trusted network to enable the exchange of health information among private networks and Federal health networks. The effort effectively integrated specifications, implementation guidelines, compliance, interoperability verification, and network operations with a strong trust fabric to allow for interoperable health information exchange.      The NwHIN program has evolved to become much more flexible, to include specifications from not only the NHIN Exchange program, but also use specifications developed from the ONC led Direct project. The NwHIN program is envisaged to include a portfolio of specifications from Exchange, Direct and Blue Button. This broad array of standards will allow stakeholders to exchange health related information using internet, at various levels of complexity of needs. The NwHIN has developed and continues to develop modular specifications, reference implementations and detailed test cases, to guide adoption by the stakeholders. These assets are publically available for download on the HHS website.",31/08/2004,30/09/2014,,,95.907,0,0,-0.007,-0.15,4.82,4.827,29/03/2012,10:26:33,288847
009-000006779,354,9,Department of Health and Human Services,Secure One HHS,2180,Trusted Internet Connection (TIC),"The Department of Health and Human Services (HHS) Trusted Internet Connections (TIC) Project was formed to comply with Office Management and Budget (OMB) Memorandum M-08-05, Implementation of Trusted Internet Connections.  The purpose of the TIC program is to optimize individual external connections, including Internet Points of Presence (PoP) currently in use by the federal government.  The TIC Initiative establishes a basis for consolidated infrastructure to achieve interoperability and communication among operating divisions.  In response to this initiative, HHS will adopt a network and security architecture that complies with the Department of Homeland Security (DHS) TIC requirements and reduces the total number of external connections to include Internet, inter-agency, partner, contractor, educational, health and research connectivity.   Once implemented, the TIC environment will improve HHS's incident response capability; reduce the number of external connection points within HHS; and provide centralized monitoring of HHS network security controls.  HHS TIC aligns with the HHS 2007-2012 Strategic Plan for IT infrastructure consolidation.  This strategy employs the sharing and reuse of common, standards-based materials and programs that support the business of computer technology.",01/10/2009,30/08/2014,,,26.17,0,0,0.793,3.03,26.17,25.377,26/04/2012,10:51:06,289186
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),1998,Databanks - Release 5.22,Release 5.22 will provide report form usability enhancements and secure messaging for users.,20/06/2011,16/12/2011,16/12/2011,16/12/2011,0.706,0,0,-0.215,-30.45,0.706,0.921,26/04/2012,10:50:49,289705
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),1999,Databanks - Release 5.23,"Release 5.23 will allow reporters to forward actions to licensing boards, improve multiple primary functions, and provide enhanced registration that will improve reporting compliance.",13/06/2011,02/03/2012,02/03/2012,02/03/2012,0.865,0,0,-0.293,-33.87,0.865,1.158,22/05/2012,08:09:30,289713
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2000,Databanks - Release 5.24,Release 5.24 will improve data integrity by enhancing the matching algorithm through address information as well as improve the user interface with an auto-complete feature and consistent branding with the information website.,01/08/2011,11/05/2012,11/05/2012,11/05/2012,1.39,0,0,0.316,22.73,1.39,1.074,28/06/2012,07:58:55,289721
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2001,Databanks - Release 5.25,"Release 5.25 will improve system performance by providing an immediate confirmation for report submittals, updating batch processing application and improving security with digitally signed PDFs.",31/10/2011,20/06/2012,20/06/2012,20/06/2012,1.212,0,0,-0.083,-6.85,1.212,1.295,23/07/2012,09:40:54,289727
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2002,Databanks - Release 6.01,"Release 6.01 will improve system performance by displaying billing events that occur after the query/enrollment has finished processing (e.g., credits, debits, etc).",16/01/2012,20/06/2012,20/06/2012,20/06/2012,0.95,-72,-46.15,-0.296,-31.16,0.95,1.246,23/07/2012,09:40:54,289733
009-000001361,355,9,Department of Health and Human Services,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB),2003,Databanks - Release 6.02,Release 6.02 will implement capabilities which detect potential duplicate reports during processing.,26/03/2012,14/12/2012,14/12/2012,14/12/2012,0.944,0,0,0.275,29.13,0.944,0.669,23/07/2012,09:40:54,289742
009-000267389,961,9,Department of Health and Human Services,ACA Consolidated IT Investment (formerly CMS CCIIO Healthcare Insurance Exchange IT Investment (HIX)),2047,CMS CCIIO Healthcare Insurance Exchange Federal Exchange Program System,"This project will develop Federal Exchange that serves the needs of citizens within states where those states do not have their own state-run exchange. Since states may elect to establish their own state-run exchanges or portions thereof, this task order will permit future modifications to encompass state's needs that are unknown at this time.",01/10/2011,30/09/2015,,,249.327,0,0,0,0,68.828,68.828,29/02/2012,11:06:30,289677
009-000267389,961,9,Department of Health and Human Services,ACA Consolidated IT Investment (formerly CMS CCIIO Healthcare Insurance Exchange IT Investment (HIX)),2048,CMS CCIIO Healthcare Insurance Exchange Data Services Hub,This project will develop and implement a data services hub which will provide common services and interfaces to federal agency information.,01/10/2011,30/09/2015,,,267.005,0,0,0,0,35.722,35.722,29/02/2012,11:06:31,289678
009-000267389,961,9,Department of Health and Human Services,ACA Consolidated IT Investment (formerly CMS CCIIO Healthcare Insurance Exchange IT Investment (HIX)),3031,HHS ACA Consolidated IRS Projects,"This project represents the activities required to modify the following IRS investments: MITS Management - PAC 9Z (UII 015-000000128); MITS Executive Oversight - PAC 9Q (UII 015-000000141); IT Security - FISMA (UII 015-000000240); ISY Support for Business Programs (UII 015-000000122); IRS.GOV (UII 015-000000056); IRS Telecommunications Systems and Support (TSS) UII 015-000000348, IRS Main Frames and Servers Services and Support (MSSS) (UII 015-000000350); IRS End User Systems and Services (EUSS) (UII 015-000000349);  Integrated Submission and Remittance Processing System (ISRP) (UII 015-000000019); Excise Files Information Retrieval Systems (ExFIRS) (UII 015-000000031); Enterprise Services - PAC 9U (UII 015-000000183); e-Services (e-SVS) (UII  015-000000012); Customer Account Data Engine 2 (CADE 2) (UII  015-000000051); Compliance Data Environment (CDE) (UII 015-000000090); Combined Annual Wage Reporting Federal Unemployment Tax Act (CAWR FUTA) (UII 015-000000094); Business Master File (BMF) (UII 015-000000006); Applications Development Program Support (ADPS) (formerly Business Systems Development Program Support) (UII 015-000000089) to support implementation of the Affordable Care Act.",01/10/2011,30/09/2013,,,303,0,0,0,0,303,303,01/03/2012,15:34:01,307575
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2183,HITECH NLR Release 11.04,"This release is scheduled for production in October of 2011.  The theme of the release is audits, appeals, and overpayments.",04/03/2011,10/10/2011,10/10/2011,10/10/2011,6.54,0,0,1.255,19.19,6.54,5.285,26/04/2012,10:51:08,283001
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2184,HITECH NLR Release 12.01,This release is scheduled to go into production in January of 2012.  The theme of the release is federal payment requirements.,27/05/2011,03/01/2012,03/01/2012,02/03/2012,5.034,-59,-26.7,-0.333,-6.62,5.034,5.367,22/05/2012,10:15:27,297221
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2185,HITECH NLR Release 12.02,This release is scheduled for production in April of 2012.  It will include any updates to code and fucntionality requested by the business owners and approved by the Change Control Board.  It will also incorporate any legislative changes to the Program.,22/07/2011,02/04/2012,02/04/2012,02/04/2012,5.034,0,0,0.485,9.63,5.034,4.549,22/05/2012,10:15:27,297224
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2186,HITECH NLR Release 12.03,This release is scheduled for production in July of 2012.  It will include changes to the system or reports requested by business owners and approved by the Change Control Board.  It will also include any required legislative updates.,21/10/2011,02/07/2012,02/07/2012,02/07/2012,5.034,0,0,-0.277,-5.5,5.034,5.311,23/07/2012,09:41:14,297225
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2187,HITECH NLR Release 12.04,This release will go into production in October of 2012.  It will include changes to the system requested by business owners and approved by the Change Control Board.  It will also include any changes mandated by legislation.,28/01/2012,01/10/2012,01/10/2012,01/10/2012,5.034,0,0,-0.125,-2.48,5.034,5.159,23/07/2012,09:41:14,297226
009-000236620,991,9,Department of Health and Human Services,CMS HITECH (Health Information Technology for Economic & Clinical Health),2188,HITECH NLR Release 13.01,This release will go into production in January of 2013.  It will include changes to the system as requested by business owners and approved by the Change Control Board.  It will also include any changes mandated by legislation.,23/04/2012,15/01/2013,,,6.558,0,0,0.11,1.68,6.558,6.448,23/07/2012,09:41:14,297227
009-000267388,1001,9,Department of Health and Human Services,CMS CCIIO HealthCare.GOV Plan Finder IT Investment,2190,CMS CCIIO Healthcare.GOV Plan Finder Final Data Collection from CMP and Transition to RBIS,This project will do the final data collection of information from the eHealth system Content Management Program (CMP). It will also do a final transition to the new Rate and Benefits Information System (RBIS).,26/07/2011,25/01/2012,25/01/2012,25/01/2012,1.8,0,0,0.398,22.11,1.8,1.402,26/04/2012,10:51:09,289436
009-000267388,1001,9,Department of Health and Human Services,CMS CCIIO HealthCare.GOV Plan Finder IT Investment,2192,CMS CCIIO Healthcare.GOV Plan Finder Transparency (Reg 2715A),"This project will implement measure to improve the transparency of information about how health coverage works so consumers will have better information to use and assess the coverage they have now, and/or make choices among different coverage options.",01/10/2011,31/08/2012,,,0.5,0,0,0,0,0.5,0.5,28/06/2012,07:59:25,289506
009-000267388,1001,9,Department of Health and Human Services,CMS CCIIO HealthCare.GOV Plan Finder IT Investment,2946,CMS CCIIO Healthcare.Gov Submission Window Modifications,This project will modify the length of time or window that users have to submit data.  The window will increase to 10 weeks for both Individual and Small Groups.,01/03/2012,06/06/2012,,,1.668,-86,-88.66,0.653,39.15,1.668,1.015,23/07/2012,09:41:15,307198
009-000001380,1086,9,Department of Health and Human Services,CDC OID National Healthcare Safety Network (NHSN),2123,NHSN - HAI Surveillance,The National Healthcare Safety Network (NHSN) is a web-based information system designed for use by CDC and partners as a resource for surveillance and improvement of patient and healthcare personnel safety. The principal goals of NHSN are to improve safety by creating and disseminating knowledge necessary to detect and respond to current and emerging healthcare safety threats. The development aspects of the project primarily supports and maintain the operations of the system and integrates new feature and functionality as deemed necessary by CDC's Division of Healthcare Quality Promotion program.,22/08/2011,23/11/2012,,,3.75,0,0,0.013,0.35,3.75,3.737,26/07/2012,10:09:13,286781
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2139,Perform Program Management of HHS ICAM Services and Develop M-11-11 Implementation and M-06-18 Procurement Policies,"Activities focused on managing all program projects, monitoring performance, mitigating risks and coordinating the issuance of Departmental implementation policy for HSPD-12 and related mandates.",01/03/2005,30/09/2014,,,11.168,0,0,0.236,2.11,11.168,10.932,23/07/2012,09:41:02,296521
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2140,Complete HHS ICAM Architecture Aligned with FICAM Architecture as required by M-11-11,"Activities focused on ensuring that the  government-wide architecture and completion of Department transition plans align as described in the Federal CIO Council's Federal Identity, Credential, and Access Management Roadmap and Implementation Guidance.",20/10/2010,29/06/2012,,,0.58,-63,-10.19,-0.001,-0.17,0.58,0.581,26/04/2012,06:08:01,296561
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2141,Implement Identity Management (IDM) Services to Enable use of PIV Credentials in support of M-11-11,"Activities focused on implementing identity management services, account provisioning services, directory services and service-oriented interfaces with OPDIV identity repositories to support the use of PIV and non-PIV smartcards in Department physical and logical access control systems.",03/08/2009,31/12/2013,,,6.845,0,0,-1.074,-15.69,6.844,7.918,23/07/2012,09:41:02,296562
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2142,Implement PIV Services for Credential Management for Permanent Personnel in support of M-11-11,"Activities focused on implementing standards, procedures and technical capabilities to support the use of PIV smartcards in Department physical and logical access control systems.",01/07/2005,30/04/2013,,,11.602,0,0,0.044,0.38,11.601,11.557,26/04/2012,06:08:01,296564
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2143,"Implement PIV-C, PIV-I, and/or Special Use Case Credential Management Services in support of M-11-11","Activities focused on implementing standards, procedures and technical capabilities to support the use of non-PIV smartcards in Department physical and logical access control systems.",01/05/2010,31/05/2012,,,1.288,-92,-12.09,-0.105,-8.15,1.288,1.393,26/04/2012,06:08:01,296572
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2144,Enable New and Existing Logical Access Control Systems to use PIV Credentials as required by M-11-11,"Activities focused on implementing logical access management services, simplified sign-on services, federation services and role-management capabilities to support the use of PIV and non-PIV smartcards in Department logical access control systems.",14/04/2008,30/09/2013,,,22.241,0,0,2.706,12.17,22.24,19.534,23/07/2012,09:41:02,296576
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2145,Enable New and Existing Physical Access Control Systems to use PIV Credentials as required by M-11-11,Activities focused on implementing LACS/PACS integration services and visitor management services to support the use of PIV and non-PIV smartcards in Department physical access control systems.,01/11/2010,07/09/2012,07/09/2012,07/09/2012,0.731,0,0,-0.348,-47.67,0.73,1.078,23/07/2012,09:41:03,296583
009-000004093,1087,9,Department of Health and Human Services,Continued Implementation of HSPD-12 (formerly known as IAM@HHS),2146,Accept and Electronically Verify Other Agency PIV Credentials as required by M-11-11,"Activities focused on implementing standards, procedures and technical capabilities to support the acceptance and electronic verification of PIV smartcards issued by other federal agencies in Department physical access control systems.",02/01/2012,30/09/2013,,,0.45,0,0,0,0,0.45,0.45,26/04/2012,06:08:02,296584
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2199,OS Web Mgt - Tobacco-Free Lifestyle Initiative,"Create a web presence for the tobacco-free lifestyle initiative that will include usability studies, graphics, web site development, content gathering from groups, site architecture, development of interactive components and much more.",16/09/2011,14/09/2012,,,2.281 ($m),0,0,0,0,2.218,2.218,26/04/2012,10:51:02,295464
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2200,OS Web Mgt - Mobile Access to HHS,"To create a strategy and plan for access to HHS web information via mobile devices and design, develop and implement the strategy on HHS web sites.",06/09/2011,07/09/2012,,,1.011,0,0,0,0,1.011,1.011,26/04/2012,10:51:02,295469
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2201,OS Web Mgt - Healthcare Finder,The Affordable Care Act Law requires access to Small Business Insurance as well as Individual Insurance options . The project will result in the development of a API interface to the Options Finder application which provides users with specific information based on their individual needs.,01/06/2011,31/05/2012,,,1.836,-138,-43.26,0,0,1.434,1.434,26/04/2012,10:51:02,295470
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2202,OS Web Mgt - Web Content Management System Enhancements,"Enhancing HHS's use of the WCMS by adding features and upgrading some of the out-of-the box modules to work with other systems/sites per stakeholder requirements. The project will result in the deployment of the Percussion CMS 7.03 and better functionality for taggng and categorizing content, syndicating content across HHS, and implementing a much quicker publishing mechanism. Finally a dashboard to allow administrative users to view logs, and other necessary components of the system's perfomance will be built.",01/04/2011,30/03/2012,,,0.854,-168,-50.45,0.051,5.97,0.854,0.803,26/04/2012,10:51:02,295471
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2203,OS Web Mgt - Cloud Infrastructure,Transition entire web presence (web and web application servers) from physical servers to a virtual environment.,01/06/2011,14/08/2012,,,1.474,-17,-3.86,0,0,1.473,1.473,26/04/2012,10:51:02,295472
009-000005797,1088,9,Department of Health and Human Services,OS ASPA HHS Web Management Investment,2204,OS WEB Mgt - News and Syndication Integration,"HHS has a need for dynamic database driven News and Syndication of its content. The project will enable the integration and syndicaiton of news from across HHS into a system that will provide outputs for specific target audiences and/or topics (i.e. tobacco, healthcare, foodsafety).",01/06/2011,31/05/2012,,,0.229,-92,-25.21,0,0,0.22,0.22,26/04/2012,10:51:02,300128
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2051,BCHMIS - UDS,The purpose of this project is to support the end-to-end reporting cycle for the UDS 2011 reporting requirements for the Federally Qualified Health Center (FQHC) and the FQHC Lookalike programs. It includes web based support for data collection using all OMB approved forms and processing support for the data review and quality assurance cycles. It also includes preparation and dissemination of the performance data through multiple channels for internal and external use. This project consists of two distinct packages to mirror the data collection cycle and the subsequent data review and reporting cycle.,01/07/2011,28/09/2012,28/09/2012,28/09/2012,1.9,0,0,-0.06,-3.16,1.9,1.96,23/07/2012,09:41:16,290021
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2052,BCHMIS - REPORTS,The purpose of this project is to develop cross cut reports that allow program staff to access data from BHCMIS modules.  The reports are implemented iteratively in an agile manner.,01/07/2011,28/09/2012,,,1.075,0,0,0,0,1.075,1.075,23/07/2012,09:41:16,290088
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2053,BCHMIS - GAAM,"In 2011 the purpose of this project is to support the program specific data collection, completeness and eligibility reviews and the program application reviews (PAR) for School Based Health Center and Capital Development funding opportunities for the Health Center program. It includes one package. In 2012 the purpose of this project is to support the program specific data collection, completeness and eligibility reviews and the program application reviews (PAR) for all funding opportunities for the Health Center program for FY 2012/2013. This includes the service area competitions, budget period renewals and other supplemental opportunities. It also includes support for up to 3 new competing opportunities. The project will be executed iteratively using agile methodologies and the work will be planned based on quarterly sprints. The project will follow the HRSA EPLC.",01/07/2011,26/09/2012,,,2.15,0,0,-0.037,-1.72,2.15,2.187,23/07/2012,09:41:16,290147
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2054,BCHMIS - FTCA,The purpose of this project is to support the deeming process of the FTCA 2011 processing cycle. It includes work that is currently in progress and scheduled to be completed by September 2011.,01/07/2011,28/09/2012,,,0.702,0,0,0.022,3.13,0.702,0.68,23/07/2012,09:41:16,290150
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2055,BCHMIS - PMM,The purpose of this project is to provide web based capabilities to program staff to better monitor and manage their portfolios. The project envisions a generic management module that will provide a set of core capabilities for all BPHC programs and allow tailoring where appropriate. The PMM module will be fully integrated with EHBs and other BHCMIS modules. This project will follow the HRSA EPLC.,03/10/2011,28/09/2012,28/09/2012,28/09/2012,0.899,0,0,-0.036,-4,0.899,0.935,23/07/2012,09:41:16,290204
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2056,BCHMIS - HCQR,"In 2011 the purpose of this project is to support the quarterly progress reporting requirements for the Health Center program under the ARRA and the ACA legislation. It includes programming of all the OMB approved forms, review and reporting processes. The project includes the iteration for the reporting period starting July 1 through September 30 2011 (FY2011-Q4).  In 2012 the purpose of this project is to support the quarterly progress reporting requirements for the Health Center program under the ARRA and the ACA legislation.  InIt includes programming of all the OMB approved forms, review, reporting processes. The project includes the iterations for each quarter in FY 2012. The ARRA reporting requirements will end in the second quarter as all grants move to closeout. This project will follow the HRSA EPLC.",01/06/2011,28/09/2012,28/09/2012,28/09/2012,0.785,0,0,0.009,1.15,0.785,0.776,23/07/2012,09:41:16,290227
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2057,BCHMIS - SCOPE,"The purpose of this project is to maintain the Scope module to sustain the tracking and management of the sites and services of health centers and to enhance it to support changes in policies, procedures and legislative changes. It includes one child package to denote the work that is scheduled to be accomplished in the remainder of FY2011.",01/07/2011,25/09/2012,25/09/2012,25/09/2012,1.255,0,0,-0.026,-2.07,1.255,1.281,23/07/2012,09:41:16,290235
009-000276109,1089,9,Department of Health and Human Services,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS),2058,BCHMIS - FQHC-LAL,"In 2011 the purpose of this project is to support electronic applications for the Federally Qualified Health Center Lookalike (FQHC LAL) program. It includes support for new, renewal and recertification packages. It also includes electronic completeness and eligibility reviews on the submitted application by internal staff and associated process reporting. It includes one child package to denote the work that is scheduled to be accomplished in the remainder of FY2011. In 2012 The purpose of this project is to develop and implement modules that allow pre-designation reviews to be conducted on all eligible applications and designation notices to be generated electronically after necessary workflow approvals. It also includes development of a post designation module that will allow designated entities to submit any required documentation electronically. The project consists of two distinct packages that will support processing in FY2012. This project will follow the HRSA EPLC.",01/07/2011,27/07/2012,27/07/2012,27/07/2012,1.515,-35,-8.93,-0.017,-1.12,1.515,1.532,23/07/2012,09:41:16,290247
